Edad,Genero,Rasgos,Mes,Hora,Ciudad,Estacion,Dia Festivo,Tipo de Refresco,Region de la Ciudad
15,1,1,9,12,46,0,0,7,2
29,1,4,6,21,0,0,1,17,3
42,1,0,0,17,24,1,1,1,0
52,0,3,3,16,63,1,1,13,0
42,0,5,4,11,30,1,1,1,2
24,1,4,4,9,25,1,1,18,0
63,1,0,3,18,55,0,1,13,0
22,1,0,2,16,22,0,0,9,0
29,1,4,4,21,2,1,0,17,3
13,0,3,2,17,45,1,0,13,1
37,1,2,2,12,25,1,0,17,0
57,1,0,3,20,23,1,1,15,3
69,0,4,1,22,23,0,0,9,3
41,0,4,4,18,50,0,0,16,3
24,0,2,2,17,4,0,1,16,0
41,0,1,10,14,53,0,0,10,0
12,0,5,4,18,60,0,0,7,0
36,0,1,2,18,25,0,1,20,0
62,0,0,3,14,13,1,0,1,2
36,0,4,1,19,65,0,1,9,3
56,1,3,9,8,45,1,0,13,1
70,1,4,2,14,67,0,1,2,0
64,0,5,4,9,48,1,0,6,1
53,0,1,9,21,48,0,0,17,1
60,1,4,0,18,28,0,0,8,3
24,1,1,1,14,24,1,1,16,0
70,1,5,0,15,24,1,0,9,0
20,0,3,4,21,29,0,1,15,3
20,0,3,11,14,61,0,0,17,0
31,1,0,0,22,8,1,1,8,0
56,1,5,1,17,7,0,1,4,3
28,0,0,6,16,25,0,1,18,0
29,1,1,1,20,56,0,0,1,3
17,0,3,2,22,12,0,0,0,0
47,1,2,1,19,47,1,1,13,0
20,1,0,8,15,1,1,1,7,3
60,1,4,7,17,49,0,0,9,2
15,1,3,4,17,69,0,0,9,2
42,0,1,6,11,25,1,0,6,0
70,1,0,5,22,4,1,1,13,0
64,0,3,2,18,26,0,1,3,3
23,1,4,10,19,27,0,1,5,0
16,0,3,8,20,39,0,0,0,0
38,1,0,6,14,35,0,0,5,0
56,1,3,9,11,28,1,1,4,3
49,1,2,11,16,41,1,0,2,3
23,1,1,9,12,32,0,1,15,0
57,0,1,6,22,45,0,1,0,1
42,1,5,6,11,23,1,1,10,3
22,0,5,3,11,58,0,1,12,0
39,0,2,11,17,23,1,1,8,3
19,1,1,5,9,37,0,1,16,0
46,0,1,0,17,15,0,1,3,3
20,1,2,5,11,54,1,0,1,0
14,1,3,8,22,66,1,1,1,0
18,0,4,5,9,12,0,0,9,0
16,0,2,9,13,26,0,1,10,3
56,0,2,8,22,46,1,1,15,2
35,1,0,11,12,21,1,0,11,3
59,0,3,0,20,1,0,0,11,3
26,0,0,3,12,37,0,1,19,0
23,1,4,4,16,47,1,0,13,0
37,0,0,0,20,48,0,0,12,1
45,0,3,11,9,5,0,0,7,0
60,0,5,1,12,25,1,1,0,0
39,1,1,1,13,31,1,0,20,3
20,1,4,6,22,59,0,1,10,0
59,0,4,3,16,22,1,0,19,0
69,1,4,2,17,26,0,1,12,3
65,0,4,1,10,59,1,0,7,0
58,1,2,5,16,67,1,0,7,0
35,1,4,5,8,54,0,0,10,0
55,1,0,11,12,32,1,1,0,0
18,1,3,6,13,31,1,0,20,3
45,0,4,8,11,35,1,1,6,0
40,0,4,5,19,65,0,0,0,3
63,1,1,2,16,69,0,1,0,2
28,0,0,1,16,64,1,0,18,2
28,0,3,7,17,14,1,1,4,3
12,1,2,5,18,65,0,1,3,3
15,1,1,0,18,51,0,0,3,3
53,0,1,6,19,8,1,0,16,0
50,0,5,9,19,37,1,1,4,0
30,1,2,7,10,16,1,0,1,0
16,0,5,7,14,61,0,1,6,0
68,1,5,1,10,69,1,0,7,2
24,1,5,11,9,20,0,0,11,3
64,0,2,6,22,68,0,0,3,2
50,0,0,7,9,42,1,0,6,0
39,0,2,3,8,29,0,1,15,3
40,0,0,3,8,28,1,0,17,3
46,0,1,10,10,47,0,1,8,0
48,0,0,11,19,0,0,1,14,3
51,0,4,6,19,53,1,0,12,0
26,0,5,8,12,2,0,0,18,3
37,0,5,4,10,44,0,0,13,0
70,0,4,3,20,40,0,0,9,0
35,0,3,0,19,69,1,1,18,2
65,0,0,5,14,60,0,0,4,0
32,0,2,10,11,9,1,0,18,3
16,1,0,3,13,25,1,0,13,0
69,0,0,4,19,60,1,0,18,0
54,0,3,2,12,23,0,1,11,3
70,0,5,4,10,11,1,1,20,3
19,1,1,5,21,10,0,0,1,3
26,0,3,3,14,47,1,1,16,0
24,0,1,0,16,31,1,1,1,3
26,0,5,4,16,30,0,1,8,2
36,0,2,9,22,66,1,1,9,0
55,1,3,5,10,6,0,0,8,3
59,1,2,10,20,67,0,0,16,0
16,1,3,7,22,18,0,1,6,0
55,1,5,6,9,29,0,1,13,3
13,1,3,2,16,20,0,1,3,3
48,0,2,9,15,31,0,0,3,3
35,1,0,7,12,7,1,0,7,3
69,1,3,8,14,16,1,0,10,0
20,0,2,1,15,18,0,0,7,0
40,1,0,0,18,62,1,0,0,0
62,1,2,11,11,21,0,0,6,3
58,1,2,10,12,37,1,0,10,0
17,0,5,2,9,9,1,1,3,3
42,1,1,0,9,42,1,1,13,0
54,0,2,3,19,35,0,1,18,0
61,1,4,10,12,21,1,1,20,3
28,1,2,0,20,19,0,1,6,3
55,1,1,9,15,23,0,0,9,3
14,1,2,7,20,54,1,1,6,0
29,1,4,9,18,0,0,1,18,3
60,1,1,5,20,19,1,1,2,3
43,1,4,1,17,7,0,0,7,3
29,0,0,7,13,60,0,0,15,0
25,0,3,3,11,58,0,1,2,0
32,1,4,5,11,60,1,0,8,0
45,0,5,9,11,13,1,1,13,2
41,0,2,6,11,44,1,1,10,0
35,0,5,3,8,57,0,1,16,0
53,1,4,3,14,2,0,0,12,3
48,1,3,11,13,23,0,1,7,3
50,0,2,7,16,12,1,0,4,0
20,0,3,11,21,56,1,0,7,3
18,0,4,8,21,60,1,1,7,0
48,0,5,1,18,38,0,0,7,2
52,0,4,11,13,18,1,0,13,0
44,1,3,6,9,9,1,1,19,3
28,1,4,3,11,5,1,1,18,0
29,0,0,5,20,50,0,1,16,3
50,1,1,9,13,28,1,1,6,3
12,0,2,8,21,41,1,0,7,3
68,0,0,2,19,51,0,0,3,3
19,1,4,2,17,15,1,0,6,3
67,1,5,9,15,52,0,1,17,0
60,0,3,4,22,57,1,1,10,0
30,0,1,2,14,67,0,1,14,0
52,0,1,11,12,34,0,0,10,0
16,1,5,0,15,56,1,1,7,3
16,1,0,2,8,24,1,1,9,0
58,0,2,10,20,6,0,1,0,3
54,1,3,5,20,69,0,1,16,2
52,1,0,2,17,26,1,0,13,3
22,1,5,9,12,13,1,1,7,2
54,0,3,3,11,29,0,1,11,3
36,1,3,9,18,37,0,0,1,0
40,1,5,11,20,0,1,1,14,3
13,0,0,9,14,32,0,0,0,0
14,1,0,6,13,24,1,1,7,0
29,0,0,5,9,23,0,0,13,3
40,0,4,10,19,61,1,0,9,0
60,0,3,7,19,51,1,1,20,3
16,1,4,10,9,4,0,1,10,0
69,0,4,2,10,25,1,0,0,0
17,0,2,5,14,14,1,1,9,3
54,1,5,2,22,35,0,0,8,0
45,1,0,6,20,35,0,1,12,0
51,1,2,5,18,60,0,0,10,0
56,1,2,0,13,40,1,0,9,0
33,1,1,4,11,45,0,1,15,1
55,0,3,0,14,23,0,1,19,3
69,0,2,0,14,25,0,0,1,0
62,0,3,3,14,48,1,1,3,1
70,1,0,7,21,69,0,1,0,2
65,1,5,8,15,29,0,1,5,3
34,1,0,7,19,19,0,1,5,3
40,0,3,1,18,62,0,1,6,0
25,1,4,3,20,7,1,1,11,3
43,0,2,1,8,33,0,0,3,0
43,0,2,4,20,12,1,1,2,0
58,0,3,9,15,42,0,0,9,0
29,1,1,4,8,21,0,0,5,3
21,1,3,11,21,39,1,0,9,0
46,1,4,9,22,18,0,0,1,0
62,1,2,7,9,10,0,1,20,3
67,1,2,10,9,39,0,1,0,0
38,0,1,4,12,51,0,1,7,3
35,1,4,10,9,11,1,1,4,3
37,1,4,9,15,0,1,1,3,3
45,0,3,10,11,22,1,1,7,0
18,0,4,5,22,24,0,0,6,0
48,1,3,10,16,66,1,1,13,0
50,1,5,8,10,5,0,1,18,0
40,1,1,0,19,67,0,0,20,0
17,1,0,5,22,41,0,0,7,3
23,1,5,3,15,52,0,0,11,0
46,0,1,11,22,1,0,0,10,3
61,0,2,8,16,34,1,0,12,0
38,1,2,7,19,67,1,0,18,0
33,1,3,7,21,32,1,1,7,0
69,0,3,3,21,56,1,0,7,3
23,1,3,11,17,62,1,0,17,0
13,0,0,11,15,11,0,1,17,3
64,0,1,11,11,69,1,0,5,2
63,1,1,0,17,56,0,1,0,3
50,0,4,3,18,40,0,1,10,0
68,1,1,9,10,11,0,0,19,3
32,1,0,10,16,65,0,0,6,3
34,1,1,3,11,16,0,0,0,0
51,0,0,2,9,14,0,1,18,3
61,0,5,5,21,48,1,1,4,1
31,1,3,5,18,28,1,0,11,3
32,1,1,7,15,21,1,0,19,3
14,0,2,8,15,59,1,0,1,0
47,0,5,0,17,6,1,0,10,3
55,1,2,4,16,19,0,1,3,3
60,1,0,10,15,30,0,1,5,2
59,1,4,10,14,44,0,1,11,0
69,1,2,6,9,49,0,1,0,2
65,1,3,3,20,52,0,1,9,0
28,1,5,3,14,58,0,1,17,0
53,1,0,5,22,27,1,0,1,0
30,0,2,3,18,19,0,0,1,3
12,0,2,7,22,16,1,0,1,0
36,1,0,8,17,43,1,1,11,0
53,1,3,8,14,44,1,0,1,0
45,1,0,5,15,64,1,0,1,2
11,0,0,11,19,26,0,1,0,3
18,0,2,11,12,46,0,0,20,2
53,0,2,10,17,67,1,0,18,0
19,0,5,8,11,43,0,0,7,0
48,0,5,10,20,37,1,1,15,0
39,1,3,5,15,4,1,1,16,0
66,0,5,9,19,48,1,1,20,1
61,0,3,11,16,26,1,1,6,3
57,1,5,2,21,21,0,1,14,3
22,0,3,2,11,1,0,0,15,3
49,0,2,3,10,20,1,0,0,3
22,0,5,0,17,34,1,1,16,0
32,1,0,11,12,38,1,1,11,2
19,1,2,3,20,57,1,1,0,0
67,1,0,2,20,62,1,0,20,0
37,1,0,11,19,30,1,1,12,2
41,1,0,1,12,47,0,0,20,0
19,0,1,8,13,3,0,1,10,0
60,1,0,10,15,17,1,1,15,0
16,0,5,8,10,34,1,0,17,0
52,1,0,11,21,57,0,1,11,0
14,1,5,8,17,30,0,1,10,2
11,0,0,7,19,21,0,1,20,3
37,0,4,6,10,42,1,1,2,0
10,0,2,4,19,57,1,0,9,0
41,1,1,0,17,53,0,0,4,0
17,0,3,3,10,59,0,1,10,0
29,0,1,10,11,35,1,1,8,0
44,1,0,7,14,50,1,1,20,3
68,1,0,11,10,7,1,0,2,3
37,1,5,0,8,67,0,1,20,0
69,0,3,6,14,17,1,0,20,0
49,0,5,11,8,28,0,1,5,3
48,1,1,10,15,34,0,1,7,0
30,1,4,1,17,5,1,1,19,0
63,0,4,11,11,53,1,1,20,0
16,0,3,3,21,15,1,1,7,3
70,0,0,9,20,7,0,1,2,3
39,0,2,11,12,62,0,0,12,0
49,0,3,7,17,43,0,1,15,0
64,0,3,9,21,19,0,0,6,3
17,0,4,3,11,55,0,0,9,0
21,0,3,8,12,27,0,0,15,0
44,1,0,4,16,20,0,0,10,3
15,1,5,0,8,43,0,1,20,0
63,0,5,11,11,8,0,1,18,0
44,1,4,8,18,2,0,0,1,3
32,1,4,2,18,64,1,0,16,2
32,0,0,11,13,30,0,0,17,2
15,1,3,11,20,33,0,1,3,0
67,1,2,10,17,66,0,0,9,0
14,0,1,2,10,65,1,1,1,3
24,0,0,3,19,22,0,1,5,0
38,1,5,10,14,12,1,1,6,0
60,0,3,3,12,32,1,1,20,0
31,0,0,5,22,38,1,0,3,2
43,0,2,2,9,58,0,0,7,0
70,1,4,7,21,23,1,1,11,3
12,1,1,7,14,28,0,1,1,3
30,0,3,10,10,5,0,0,20,0
38,0,4,7,22,19,0,1,3,3
29,1,5,2,13,3,1,1,12,0
50,0,2,11,20,32,1,0,5,0
14,1,4,2,15,7,1,1,10,3
43,0,2,2,20,52,0,0,7,0
14,1,3,1,11,29,1,1,1,3
29,0,2,1,14,55,0,1,6,0
69,1,1,7,20,59,1,0,0,0
53,0,5,6,17,61,0,0,1,0
23,0,3,1,17,51,0,1,12,3
40,0,3,5,22,55,1,0,2,0
14,0,0,2,12,49,1,0,17,2
39,0,5,10,18,7,1,1,12,3
33,1,3,8,22,20,0,1,15,3
46,1,5,10,12,28,0,0,20,3
70,1,5,11,18,38,0,0,2,2
13,0,5,4,19,69,1,1,9,2
48,1,2,0,13,27,1,0,12,0
49,1,1,5,14,50,0,0,0,3
67,0,0,2,14,19,1,1,18,3
38,1,5,11,14,42,0,0,6,0
48,0,4,2,10,22,0,0,7,0
55,1,1,7,10,63,0,0,10,0
18,0,0,2,13,46,0,1,10,2
65,1,4,0,21,44,0,1,12,0
59,1,3,4,16,61,0,1,18,0
59,1,3,2,17,45,1,0,15,1
14,1,3,3,20,8,0,0,6,0
33,1,1,9,22,57,1,0,15,0
22,0,1,8,15,31,1,0,8,3
37,1,0,11,12,9,1,1,16,3
20,0,0,2,8,13,1,1,15,2
27,1,3,3,9,22,1,0,1,0
26,1,5,2,10,44,1,1,20,0
42,0,5,7,22,10,1,1,12,3
54,1,4,11,15,11,1,1,11,3
38,0,0,8,12,23,1,0,7,3
66,1,5,10,16,27,1,1,20,0
46,1,4,5,11,28,0,1,5,3
64,1,3,4,10,51,0,0,19,3
15,1,1,2,12,40,0,1,6,0
33,1,4,5,21,48,0,1,5,1
33,1,5,9,9,5,0,1,7,0
52,1,3,6,16,61,0,1,13,0
27,1,5,5,14,57,1,0,14,0
53,0,2,6,13,22,1,0,3,0
22,0,1,11,8,54,1,0,9,0
40,0,4,4,11,8,1,0,20,0
31,1,2,6,8,39,1,0,1,0
27,1,2,6,20,17,1,0,14,0
21,1,5,3,11,20,0,0,4,3
10,0,0,11,15,52,1,1,17,0
57,1,0,10,18,4,0,1,7,0
23,1,0,8,14,44,1,1,7,0
21,0,5,11,14,38,0,0,6,2
54,0,4,5,8,68,0,1,1,2
40,1,3,11,21,34,1,0,6,0
64,0,2,7,14,49,0,0,10,2
55,1,2,7,22,25,0,1,11,0
47,1,3,4,16,12,0,1,12,0
26,1,1,11,14,28,1,0,18,3
45,1,3,2,14,57,1,0,14,0
16,1,0,11,16,50,1,1,3,3
12,1,0,1,10,48,1,0,3,1
46,1,3,1,14,68,0,0,9,2
38,1,0,11,12,45,0,0,17,1
66,1,3,0,21,14,1,1,6,3
15,1,3,6,21,14,0,0,9,3
19,1,0,4,22,8,1,1,11,0
56,0,2,1,18,0,1,1,2,3
43,0,4,2,15,68,1,1,0,2
14,0,1,10,9,65,0,0,13,3
42,0,4,0,8,61,1,1,2,0
62,0,2,2,11,3,1,0,0,0
37,0,3,11,20,17,1,1,0,0
13,1,5,9,22,1,0,0,0,3
23,0,5,1,9,40,0,0,7,0
33,1,2,9,18,33,1,1,3,0
10,1,1,8,12,16,1,1,3,0
12,0,4,5,18,10,1,0,20,3
20,1,0,7,10,57,0,0,9,0
39,0,3,1,17,12,0,0,12,0
49,0,4,11,19,65,1,1,5,3
14,1,5,7,21,48,1,1,20,1
34,1,0,10,13,39,0,0,17,0
50,0,2,8,20,51,0,0,3,3
57,0,2,2,14,31,0,0,8,3
40,1,4,6,15,45,0,1,18,1
14,0,2,6,12,15,0,1,3,3
40,0,1,3,10,34,1,1,10,0
36,0,4,6,11,59,0,0,20,0
32,0,2,3,12,31,0,0,7,3
40,0,5,5,10,16,0,1,4,0
31,1,0,11,22,51,0,1,0,3
61,1,4,10,19,48,0,1,13,1
18,0,5,10,22,0,0,0,9,3
68,1,2,10,17,66,1,0,0,0
46,0,4,10,20,3,0,0,0,0
63,1,2,9,12,34,1,0,16,0
30,0,4,5,16,19,0,0,7,3
53,0,5,0,9,1,1,1,11,3
60,1,3,11,9,52,1,0,6,0
61,0,4,2,10,37,0,0,3,0
16,1,2,10,10,2,1,1,10,3
37,1,4,7,9,32,0,0,10,0
14,1,1,2,20,54,0,0,10,0
30,1,1,1,9,59,1,0,9,0
69,0,2,10,13,27,1,1,8,0
29,1,4,6,21,67,1,1,5,0
59,0,4,4,17,59,1,0,9,0
57,0,4,8,15,57,0,0,16,0
17,1,2,0,13,14,1,1,1,3
28,0,4,8,8,39,0,1,10,0
55,1,3,7,11,67,1,0,3,0
49,0,2,2,20,1,0,0,1,3
59,0,1,0,11,68,1,1,13,2
43,0,4,9,15,42,0,0,3,0
18,1,3,4,21,5,1,0,7,0
61,1,1,10,22,51,0,0,18,3
21,0,0,6,12,12,0,0,20,0
65,1,2,3,9,10,0,1,0,3
11,0,4,7,17,11,1,1,17,3
64,1,4,4,9,6,0,1,7,3
38,1,5,5,20,60,0,1,14,0
40,0,2,8,20,40,0,1,10,0
44,1,0,4,11,51,1,0,16,3
51,1,3,4,12,54,0,0,10,0
62,0,3,11,18,53,1,1,3,0
34,0,5,9,10,6,1,0,6,3
15,0,1,10,18,34,0,1,6,0
53,0,2,2,9,48,0,1,6,1
20,1,5,8,15,69,1,1,7,2
38,0,1,6,16,0,0,0,8,3
33,0,3,9,15,21,1,1,16,3
16,0,4,11,14,53,1,0,1,0
68,1,3,5,13,21,1,1,7,3
54,1,0,7,14,4,1,0,9,0
25,1,4,5,16,44,1,0,7,0
25,1,1,10,10,30,0,0,12,2
20,1,5,10,11,38,1,1,14,2
26,1,4,6,19,0,0,1,2,3
54,0,2,1,21,50,0,1,10,3
10,1,1,1,17,48,0,1,20,1
56,0,4,0,20,51,1,1,16,3
15,1,3,5,8,22,1,0,20,0
70,0,1,3,16,28,1,1,3,3
52,0,0,9,14,1,0,0,20,3
26,1,2,4,10,22,0,0,3,0
60,1,0,2,19,31,0,0,18,3
39,0,2,8,12,10,0,0,8,3
42,1,2,8,17,15,0,0,1,3
23,1,0,10,9,58,0,0,7,0
31,1,5,0,15,36,1,1,8,0
43,1,3,10,16,37,0,0,6,0
46,0,4,5,20,41,0,0,19,3
52,1,4,5,14,21,1,0,12,3
29,0,1,2,20,47,1,0,0,0
24,0,3,6,19,37,1,1,12,0
18,0,4,9,13,10,0,0,0,3
62,1,2,5,19,68,1,1,12,2
68,1,2,8,14,18,1,1,7,0
24,1,3,5,15,41,0,1,3,3
48,0,2,3,16,19,0,1,7,3
31,1,1,9,8,45,0,0,7,1
56,0,5,4,9,63,0,1,20,0
68,0,5,0,18,39,0,1,15,0
56,1,5,2,22,10,0,0,6,3
49,0,0,0,17,26,1,1,12,3
60,0,2,1,11,12,1,0,14,0
63,1,4,11,8,16,0,1,14,0
32,1,4,7,12,21,1,0,0,3
61,0,3,6,20,4,0,0,13,0
68,1,3,11,15,14,0,1,16,3
39,0,1,4,8,45,0,0,3,1
32,0,0,8,18,39,0,1,15,0
47,0,3,2,13,55,0,1,2,0
61,0,1,6,10,40,0,0,4,0
62,1,1,7,18,19,1,1,8,3
34,1,2,3,8,31,1,1,17,3
58,1,3,7,20,60,0,0,7,0
64,0,0,3,17,55,1,0,7,0
18,1,2,8,16,43,0,1,13,0
38,0,4,5,8,66,0,1,12,0
11,0,1,4,21,15,1,1,3,3
57,1,1,3,12,31,0,1,11,3
19,0,1,5,8,42,0,1,10,0
23,0,5,2,12,62,0,1,7,0
57,0,3,6,19,26,0,1,1,3
57,1,5,8,10,1,0,0,15,3
47,0,2,10,17,24,1,0,20,0
18,0,4,9,20,19,0,0,3,3
31,1,1,5,9,12,0,0,13,0
20,0,5,9,9,67,1,0,9,0
43,1,2,11,20,48,1,0,15,1
38,0,0,10,12,51,1,0,11,3
50,0,3,3,13,59,0,0,11,0
10,0,4,0,14,13,1,1,10,2
41,1,0,9,9,23,1,1,18,3
69,1,2,1,8,30,0,0,1,2
18,1,0,9,18,58,0,1,1,0
67,1,4,8,18,33,1,1,7,0
36,1,2,2,21,54,1,0,7,0
28,1,2,5,20,57,1,0,10,0
33,1,1,1,14,55,0,1,11,0
34,0,3,1,15,39,1,0,5,0
15,1,4,11,16,30,1,1,13,2
44,1,1,10,8,57,0,0,13,0
33,1,3,7,8,54,0,0,12,0
43,1,2,1,16,0,0,0,1,3
64,0,0,2,19,49,0,0,18,2
37,0,3,9,19,65,0,1,8,3
14,1,5,10,10,31,0,1,1,3
58,0,4,11,10,35,1,1,5,0
63,0,4,0,21,54,1,0,11,0
52,1,0,3,15,26,1,0,20,3
42,0,0,0,15,28,0,1,13,3
12,1,4,11,14,17,1,0,3,0
59,0,3,0,19,40,1,0,18,0
38,1,0,8,12,4,0,1,5,0
49,1,4,1,19,23,1,1,4,3
21,1,0,0,10,37,1,0,18,0
11,1,3,9,9,11,1,0,20,3
43,0,1,5,16,1,1,0,19,3
36,1,2,1,13,35,0,0,16,0
54,0,2,11,16,45,0,0,0,1
13,0,1,6,21,29,1,1,10,3
49,1,1,2,8,61,0,0,17,0
18,0,1,6,9,13,0,1,1,2
65,1,3,5,17,7,1,0,12,3
20,0,4,6,12,29,0,1,4,3
59,0,4,4,15,50,0,0,11,3
68,0,3,6,17,54,0,1,9,0
12,0,5,1,11,62,0,1,10,0
68,0,0,6,17,5,0,1,6,0
47,0,1,10,8,67,1,0,9,0
11,1,2,4,18,26,1,0,17,3
40,0,1,4,11,14,1,0,17,3
35,1,0,7,19,42,0,0,9,0
35,0,0,7,11,48,1,0,16,1
